city,state_id,state_name,lat,lng
New York,NY,New York,40.6943,-73.9249
Los Angeles,CA,California,34.1141,-118.4068
Chicago,IL,Illinois,41.8375,-87.6866
Miami,FL,Florida,25.7840,-80.2101
Houston,TX,Texas,29.7860,-95.3885
Dallas,TX,Texas,32.7935,-96.7667
Philadelphia,PA,Pennsylvania,40.0077,-75.1339
Atlanta,GA,Georgia,33.7628,-84.4220
Washington,DC,District of Columbia,38.9047,-77.0163
Boston,MA,Massachusetts,42.3188,-71.0852
Phoenix,AZ,Arizona,33.5722,-112.0892
Detroit,MI,Michigan,42.3834,-83.1024
Seattle,WA,Washington,47.6211,-122.3244
San Francisco,CA,California,37.7558,-122.4449
San Diego,CA,California,32.8313,-117.1222
Minneapolis,MN,Minnesota,44.9635,-93.2678
Tampa,FL,Florida,27.9945,-82.4447
Brooklyn,NY,New York,40.6501,-73.9496
Denver,CO,Colorado,39.7620,-104.8758
Queens,NY,New York,40.7498,-73.7976
Riverside,CA,California,33.9381,-117.3949
Las Vegas,NV,Nevada,36.2333,-115.2654
Baltimore,MD,Maryland,39.3051,-76.6144
St. Louis,MO,Missouri,38.6359,-90.2451
Portland,OR,Oregon,45.5371,-122.6500
San Antonio,TX,Texas,29.4632,-98.5238
Sacramento,CA,California,38.5677,-121.4685
Austin,TX,Texas,30.3005,-97.7522
Orlando,FL,Florida,28.4773,-81.3370
San Juan,PR,Puerto Rico,18.3985,-66.0610
San Jose,CA,California,37.3012,-121.8480
Pittsburgh,PA,Pennsylvania,40.4397,-79.9763
Indianapolis,IN,Indiana,39.7771,-86.1458
Manhattan,NY,New York,40.7834,-73.9662
Cincinnati,OH,Ohio,39.1413,-84.5060
Kansas City,MO,Missouri,39.1238,-94.5541
Cleveland,OH,Ohio,41.4764,-81.6805
Columbus,OH,Ohio,39.9862,-82.9855
Bronx,NY,New York,40.8501,-73.8662
Virginia Beach,VA,Virginia,36.7335,-76.0435
Charlotte,NC,North Carolina,35.2083,-80.8303
Milwaukee,WI,Wisconsin,43.0642,-87.9675
Providence,RI,Rhode Island,41.8230,-71.4187
Jacksonville,FL,Florida,30.3322,-81.6749
Nashville,TN,Tennessee,36.1715,-86.7842
Salt Lake City,UT,Utah,40.7776,-111.9311
Raleigh,NC,North Carolina,35.8324,-78.6429
Richmond,VA,Virginia,37.5295,-77.4756
Memphis,TN,Tennessee,35.1087,-89.9663
Oklahoma City,OK,Oklahoma,35.4676,-97.5136
Hartford,CT,Connecticut,41.7661,-72.6834
Louisville,KY,Kentucky,38.1663,-85.6485
Buffalo,NY,New York,42.9018,-78.8487
New Orleans,LA,Louisiana,30.0687,-89.9288
Fort Worth,TX,Texas,32.7817,-97.3474
Bridgeport,CT,Connecticut,41.1918,-73.1954
Tucson,AZ,Arizona,32.1541,-110.8787
El Paso,TX,Texas,31.8476,-106.4300
Omaha,NE,Nebraska,41.2627,-96.0529
McAllen,TX,Texas,26.2252,-98.2467
Birmingham,AL,Alabama,33.5279,-86.7971
Albuquerque,NM,New Mexico,35.1054,-106.6465
Tulsa,OK,Oklahoma,36.1283,-95.9042
Fresno,CA,California,36.7830,-119.7939
Charleston,SC,South Carolina,32.8168,-79.9687
Rochester,NY,New York,43.1680,-77.6162
Dayton,OH,Ohio,39.7805,-84.2003
Cape Coral,FL,Florida,26.6443,-81.9957
Mission Viejo,CA,California,33.6096,-117.6551
Colorado Springs,CO,Colorado,38.8674,-104.7605
Baton Rouge,LA,Louisiana,30.4420,-91.1311
Allentown,PA,Pennsylvania,40.5961,-75.4756
Ogden,UT,Utah,41.2279,-111.9682
Provo,UT,Utah,40.2457,-111.6457
Knoxville,TN,Tennessee,35.9692,-83.9496
Grand Rapids,MI,Michigan,42.9619,-85.6562
Columbia,SC,South Carolina,34.0378,-80.9036
Albany,NY,New York,42.6664,-73.7987
Bakersfield,CA,California,35.3529,-119.0359
New Haven,CT,Connecticut,41.3113,-72.9246
Des Moines,IA,Iowa,41.5725,-93.6105
Akron,OH,Ohio,41.0798,-81.5219
Palm Bay,FL,Florida,27.9631,-80.6593
Concord,CA,California,37.9722,-122.0016
Wichita,KS,Kansas,37.6895,-97.3443
Mesa,AZ,Arizona,33.4015,-111.7178
Harrisburg,PA,Pennsylvania,40.2752,-76.8843
Staten Island,NY,New York,40.5834,-74.1496
Toledo,OH,Ohio,41.6638,-83.5827
Worcester,MA,Massachusetts,42.2705,-71.8079
Long Beach,CA,California,33.7977,-118.1670
Port St. Lucie,FL,Florida,27.2796,-80.3884
Little Rock,AR,Arkansas,34.7256,-92.3577
Reno,NV,Nevada,39.5497,-119.8483
Spokane,WA,Washington,47.6671,-117.4330
Madison,WI,Wisconsin,43.0822,-89.3930
Boise,ID,Idaho,43.6005,-116.2308
Bonita Springs,FL,Florida,26.3558,-81.7859
Denton,TX,Texas,33.2175,-97.1418
Oakland,CA,California,37.7904,-122.2166
Springfield,MA,Massachusetts,42.1155,-72.5395
Augusta,GA,Georgia,33.3645,-82.0708
Kissimmee,FL,Florida,28.3041,-81.4169
Winston-Salem,NC,North Carolina,36.1029,-80.2610
Stockton,CA,California,37.9765,-121.3109
Syracuse,NY,New York,43.0407,-76.1437
Chattanooga,TN,Tennessee,35.0660,-85.2481
Lancaster,PA,Pennsylvania,40.0420,-76.3012
Greenville,SC,South Carolina,34.8354,-82.3646
Durham,NC,North Carolina,35.9792,-78.9022
Pensacola,FL,Florida,30.4413,-87.1911
Fayetteville,AR,Arkansas,36.0714,-94.1661
Arlington,TX,Texas,32.6998,-97.1250
Aurora,CO,Colorado,39.7083,-104.7237
Oxnard,CA,California,34.1964,-119.1815
Indio,CA,California,33.7346,-116.2346
Scranton,PA,Pennsylvania,41.4044,-75.6649
Victorville,CA,California,34.5277,-117.3536
Trenton,NJ,New Jersey,40.2237,-74.7641
Modesto,CA,California,37.6375,-121.0028
Huntsville,AL,Alabama,34.6981,-86.6412
Honolulu,HI,Hawaii,21.3294,-157.8460
Greensboro,NC,North Carolina,36.0956,-79.8271
Anaheim,CA,California,33.8390,-117.8574
Corpus Christi,TX,Texas,27.7254,-97.3767
Fort Wayne,IN,Indiana,41.0888,-85.1436
Fort Collins,CO,Colorado,40.5477,-105.0656
Jackson,MS,Mississippi,32.3157,-90.2125
Myrtle Beach,SC,South Carolina,33.7094,-78.8844
Fayetteville,NC,North Carolina,35.0850,-78.9772
Antioch,CA,California,37.9787,-121.7960
Lansing,MI,Michigan,42.7142,-84.5601
Lexington,KY,Kentucky,38.0423,-84.4587
Mobile,AL,Alabama,30.6782,-88.1162
Youngstown,OH,Ohio,41.0993,-80.6463
Henderson,NV,Nevada,36.0133,-115.0381
Savannah,GA,Georgia,32.0286,-81.1821
Poughkeepsie,NY,New York,41.6950,-73.9211
Santa Ana,CA,California,33.7367,-117.8819
Ann Arbor,MI,Michigan,42.2759,-83.7310
St. Paul,MN,Minnesota,44.9478,-93.1039
Newark,NJ,New Jersey,40.7245,-74.1725
Irvine,CA,California,33.6772,-117.7738
Santa Rosa,CA,California,38.4458,-122.7067
Canton,OH,Ohio,40.8078,-81.3676
Asheville,NC,North Carolina,35.5707,-82.5537
Flint,MI,Michigan,43.0236,-83.6921
Winter Haven,FL,Florida,28.0118,-81.7014
Anchorage,AK,Alaska,61.1508,-149.1091
Lincoln,NE,Nebraska,40.8099,-96.6784
Concord,NC,North Carolina,35.3933,-80.6369
Jersey City,NJ,New Jersey,40.7184,-74.0686
Springfield,MO,Missouri,37.1943,-93.2916
Plano,TX,Texas,33.0502,-96.7486
Shreveport,LA,Louisiana,32.4653,-93.7955
Davenport,IA,Iowa,41.5565,-90.6053
Lubbock,TX,Texas,33.5657,-101.8879
Lakeland,FL,Florida,28.0557,-81.9545
South Bend,IN,Indiana,41.6767,-86.2696
Chula Vista,CA,California,32.6281,-117.0144
Chandler,AZ,Arizona,33.2825,-111.8514
Rockford,IL,Illinois,42.2596,-89.0640
Reading,PA,Pennsylvania,40.3400,-75.9267
Eugene,OR,Oregon,44.0564,-123.1174
Wilmington,NC,North Carolina,34.2099,-77.8866
Santa Clarita,CA,California,34.4175,-118.4964
Gilbert,AZ,Arizona,33.3100,-111.7463
Salem,OR,Oregon,44.9233,-123.0244
Killeen,TX,Texas,31.0753,-97.7297
Round Lake Beach,IL,Illinois,42.3791,-88.0811
Columbus,GA,Georgia,32.5100,-84.8771
North Las Vegas,NV,Nevada,36.2883,-115.0888
Kennewick,WA,Washington,46.1978,-119.1732
St. Petersburg,FL,Florida,27.7931,-82.6652
Tallahassee,FL,Florida,30.4551,-84.2527
Laredo,TX,Texas,27.5625,-99.4874
Irving,TX,Texas,32.8583,-96.9702
